4K频道,#genre#
湖南卫视,http://192.168.100.1:50101/TVOD/5000000004000006692/FifastbLive/index.m3u8$8M1080_百视通
湖南卫视,http://192.168.100.1:50101/TVOD/6000000001000018044/FifastbLive/index.m3u8$8M1080_华数
湖南卫视,http://192.168.100.1:50101/TVOD/1000000001000032695/FifastbLive/index.m3u8$8M1080_易视腾
湖南卫视,http://192.168.100.1:50101/TVOD/1000000005000265024/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
湖南卫视,http://192.168.100.1:50101/TVOD/5000000010000030452/FifastbLive/index.m3u8$4M1080_百视通
湖南卫视,http://192.168.100.1:50101/TVOD/1000000001000009115/FifastbLive/index.m3u8$4M1080_易视腾
吉林卫视,http://192.168.100.1:50101/TVOD/5000000011000031117/FifastbLive/index.m3u8$6.8M1080_百视通
吉林卫视,http://192.168.100.1:50101/TVOD/1000000002000027730/FifastbLive/index.m3u8$4M1080_易视腾
吉林卫视,http://192.168.100.1:50101/TVOD/5000000006000040013/FifastbLive/index.m3u8$4M540_百视通
江苏卫视,http://192.168.100.1:50101/TVOD/6000000001000014861/FifastbLive/index.m3u8$8M1080_华数
江苏卫视,http://192.168.100.1:50101/TVOD/1000000001000001828/FifastbLive/index.m3u8$8M1080_易视腾
江苏卫视,http://192.168.100.1:50101/TVOD/5000000004000019351/FifastbLive/index.m3u8$7.5M1080_百视通
江苏卫视,http://192.168.100.1:50101/TVOD/1000000005000265030/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
江苏卫视,http://192.168.100.1:50101/TVOD/5000000010000018509/FifastbLive/index.m3u8$4M1080_百视通
江苏卫视,http://192.168.100.1:50101/TVOD/1000000001000004684/FifastbLive/index.m3u8$4M1080_易视腾
江西卫视,http://192.168.100.1:50101/TVOD/1000000006000268001/FifastbLive/index.m3u8$8M1080_易视腾
江西卫视,http://192.168.100.1:50101/TVOD/5000000004000011210/FifastbLive/index.m3u8$6.8M1080_百视通
江西卫视,http://192.168.100.1:50101/TVOD/1000000005000265032/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
江西卫视,http://192.168.100.1:50101/TVOD/5000000001000032154/FifastbLive/index.m3u8$4M1080_百视通
江西卫视,http://192.168.100.1:50101/TVOD/1000000001000013731/FifastbLive/index.m3u8$4M1080_易视腾
辽宁卫视,http://192.168.100.1:50101/TVOD/5000000004000011671/FifastbLive/index.m3u8$8M1080_百视通
辽宁卫视,http://192.168.100.1:50101/TVOD/1000000001000001945/FifastbLive/index.m3u8$8M1080_易视腾
辽宁卫视,http://192.168.100.1:50101/TVOD/1000000005000265022/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
辽宁卫视,http://192.168.100.1:50101/TVOD/5000000001000008940/FifastbLive/index.m3u8$4M1080_百视通
辽宁卫视,http://192.168.100.1:50101/TVOD/1000000002000024033/FifastbLive/index.m3u8$4M1080_易视腾
青海卫视,http://192.168.100.1:50101/TVOD/1000000002000013359/FifastbLive/index.m3u8$4M1080_易视腾
青海卫视,http://192.168.100.1:50101/TVOD/5000000006000040015/FifastbLive/index.m3u8$4M540_百视通
山东卫视,http://192.168.100.1:50101/TVOD/6000000001000004134/FifastbLive/index.m3u8$8M1080_华数
山东卫视,http://192.168.100.1:50101/TVOD/1000000001000016568/FifastbLive/index.m3u8$8M1080_易视腾
山东卫视,http://192.168.100.1:50101/TVOD/5000000004000020424/FifastbLive/index.m3u8$6.8M1080_百视通
山东卫视,http://192.168.100.1:50101/TVOD/1000000005000265019/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
山东卫视,http://192.168.100.1:50101/TVOD/5000000010000027763/FifastbLive/index.m3u8$4M1080_百视通
山东卫视,http://192.168.100.1:50101/TVOD/1000000001000012807/FifastbLive/index.m3u8$4M1080_易视腾
上海第一财经,http://192.168.100.1:50101/TVOD/5000000010000027146/FifastbLive/index.m3u8$4M1080_百视通
上海第一财经,http://192.168.100.1:50101/TVOD/2000000002000000004/FifastbLive/index.m3u8$2.5M720_湖南bblive
上海东方财经,http://192.168.100.1:50101/TVOD/5000000007000010003/FifastbLive/index.m3u8$6.8M1080_百视通
上海东方财经,http://192.168.100.1:50101/TVOD/2000000002000000090/FifastbLive/index.m3u8$6.8M1080_湖南bblive
上海东方卫视,http://192.168.100.1:50101/TVOD/5000000004000014098/FifastbLive/index.m3u8$8M1080_百视通
上海东方卫视,http://192.168.100.1:50101/TVOD/6000000001000003639/FifastbLive/index.m3u8$8M1080_华数
上海东方卫视,http://192.168.100.1:50101/TVOD/1000000001000005866/FifastbLive/index.m3u8$8M1080_易视腾
上海东方卫视,http://192.168.100.1:50101/TVOD/1000000005000265018/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
上海东方卫视,http://192.168.100.1:50101/TVOD/5000000010000032246/FifastbLive/index.m3u8$4M1080_百视通
上海东方卫视,http://192.168.100.1:50101/TVOD/1000000001000030202/FifastbLive/index.m3u8$4M1080_易视腾
上海东方卫视,http://192.168.100.1:50101/TVOD/2000000002000000056/FifastbLive/index.m3u8$2M720_湖南bblive
上海东方影视,http://192.168.100.1:50101/TVOD/5000000010000032212/FifastbLive/index.m3u8$4M1080_百视通
上海东方影视,http://192.168.100.1:50101/TVOD/2000000002000000013/FifastbLive/index.m3u8$2.5M720_湖南bblive
上海都市,http://192.168.100.1:50101/TVOD/5000000010000018926/FifastbLive/index.m3u8$4M1080_百视通
上海都市,http://192.168.100.1:50101/TVOD/2000000002000000012/FifastbLive/index.m3u8$2.5M720_湖南bblive
上海哈哈炫动,http://192.168.100.1:50101/TVOD/5000000011000031123/FifastbLive/index.m3u8$7M1080_百视通
上海哈哈炫动,http://192.168.100.1:50101/TVOD/5000000005000031641/FifastbLive/index.m3u8$4M1080_百视通
上海哈哈炫动,http://192.168.100.1:50101/TVOD/1000000002000000172/FifastbLive/index.m3u8$4M576_易视腾
上海纪实人文,http://192.168.100.1:50101/TVOD/1000000001000016545/FifastbLive/index.m3u8$8M1080_易视腾
上海纪实人文,http://192.168.100.1:50101/TVOD/5000000004000010282/FifastbLive/index.m3u8$7M1080_百视通
上海纪实人文,http://192.168.100.1:50101/TVOD/1000000005000265021/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
上海纪实人文,http://192.168.100.1:50101/TVOD/5000000001000021713/FifastbLive/index.m3u8$4M1080_百视通
上海纪实人文,http://192.168.100.1:50101/TVOD/1000000001000010606/FifastbLive/index.m3u8$4M1080_易视腾
上海五星体育,http://192.168.100.1:50101/TVOD/5000000010000017540/FifastbLive/index.m3u8$4M1080_百视通
上海五星体育,http://192.168.100.1:50101/TVOD/2000000002000000007/FifastbLive/index.m3u8$2.5M720_湖南bblive
上海新闻综合,http://192.168.100.1:50101/TVOD/5000000011000031110/FifastbLive/index.m3u8$7M1080_百视通
上海新闻综合,http://192.168.100.1:50101/TVOD/2000000002000000005/FifastbLive/index.m3u8$2.5M576_湖南bblive
深圳卫视,http://192.168.100.1:50101/TVOD/5000000004000007410/FifastbLive/index.m3u8$8M1080_百视通
深圳卫视,http://192.168.100.1:50101/TVOD/6000000001000002116/FifastbLive/index.m3u8$8M1080_华数
深圳卫视,http://192.168.100.1:50101/TVOD/1000000001000009227/FifastbLive/index.m3u8$8M1080_易视腾
深圳卫视,http://192.168.100.1:50101/TVOD/1000000005000265028/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
深圳卫视,http://192.168.100.1:50101/TVOD/5000000010000024026/FifastbLive/index.m3u8$4M1080_百视通
深圳卫视,http://192.168.100.1:50101/TVOD/1000000001000011645/FifastbLive/index.m3u8$4M1080_易视腾
四川卫视,http://192.168.100.1:50101/TVOD/5000000004000006119/FifastbLive/index.m3u8$7.5M1080_百视通
四川卫视,http://192.168.100.1:50101/TVOD/1000000002000016825/FifastbLive/index.m3u8$4M1080_易视腾
天津卫视,http://192.168.100.1:50101/TVOD/5000000004000006827/FifastbLive/index.m3u8$8M1080_百视通
天津卫视,http://192.168.100.1:50101/TVOD/6000000001000009186/FifastbLive/index.m3u8$8M1080_华数
天津卫视,http://192.168.100.1:50101/TVOD/1000000001000003475/FifastbLive/index.m3u8$8M1080_易视腾
天津卫视,http://192.168.100.1:50101/TVOD/1000000005000265026/FifastbLive/index.m3u8$5.5M1080HEVC_易视腾
天津卫视,http://192.168.100.1:50101/TVOD/5000000001000030788/FifastbLive/index.m3u8$4M1080_百视通
天津卫视,http://192.168.100.1:50101/TVOD/1000000001000000831/FifastbLive/index.m3u8$4M1080_易视腾
云南卫视,http://192.168.100.1:50101/TVOD/5000000011000031120/FifastbLive/index.m3u8$6.8M1080_百视通
云南卫视,http://192.168.100.1:50101/TVOD/1000000002000024694/FifastbLive/index.m3u8$4M1080_易视腾
云南卫视,http://192.168.100.1:50101/TVOD/5000000006000040019/FifastbLive/index.m3u8$4M540_百视通
